Catalog ID,Product Code,Product Series,Product Category,English Product Name,Chinese Product Name,Model / Specification,Capacity,Dimensions,Material,Lid / Cap,Filter Membrane,Packing,MOQ,EXW Price USD,Product URL,Image Path,Notes,Priority,Price Status,MOQ Status,Packing Status,Customer Visible,Quote Note
PC-BOTTLE-145ML,PC-BTL-9660,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×60mm,145mL,Opening: TBD; Bottom: 60mm; Height: 96mm,PC,41#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/96x60.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-160ML,PC-BTL-8060,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,80×60mm,160mL,Opening: TBD; Bottom: 60mm; Height: 80mm,PC,53#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/80x60.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-180ML,PC-BTL-577777,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,57×77×77mm,180mL,Opening: TBD; Bottom: 77x77mm; Height: 57mm,PC,58#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/57x77x77.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-240ML,PC-BTL-8077,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,80×77mm,240mL,Opening: TBD; Bottom: 77mm; Height: 80mm,PC,60#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/80x77.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-250ML,PC-BTL-727777,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,72×77×77mm,250mL,Opening: TBD; Bottom: 77x77mm; Height: 72mm,PC,72#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/72x77x77.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-250ML-02,PC-BTL-9867,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,98×67mm,250mL,Opening: TBD; Bottom: 67mm; Height: 98mm,PC,61#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/98x67.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-260ML,PC-BTL-9070,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,90×70mm,260mL,Opening: TBD; Bottom: 70mm; Height: 90mm,PC,64#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/90x70.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-270ML,PC-BTL-10868,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,108×68mm,270mL,Opening: TBD; Bottom: 68mm; Height: 108mm,PC,60#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/108x68.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-300ML,PC-BTL-9677,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×77mm,300mL,Opening: TBD; Bottom: 77mm; Height: 96mm,PC,64#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/96x77.webp,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
PC-BOTTLE-330ML,PC-BTL-9680,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×80mm,330mL,Opening: TBD; Bottom: 80mm; Height: 96mm,PC,64#,TBD,TBD,TBD,TBD,https://www.fulongplastic.com/en/products/pc-series/pc-tissue-culture-bottles/,/products/pc-bottles/96×80mm（330ml）.JPG,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,TBD,TBD,TBD,TBD,Yes,Volume discount available based on order quantity.
