Catalog ID,Product Code,Product Series,Product Category,English Product Name,Chinese Product Name,Model / Specification,Capacity,Dimensions,Material,Packing,Domestic Reference Price RMB,Factory Cost RMB,EXW Base Price USD,EXW Standard Price USD,EXW Distributor Price USD,MOQ,Recommended Export Level,Notes,Internal Exchange Rate,RMB Base Price Source,Small Order Price Formula,Standard Price Formula,Distributor Price Formula,Price Owner,Last Updated,Export Priority,Risk Note
PC-BOTTLE-145ML,PC-BTL-9660,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×60mm,145mL,Opening: TBD; Bottom: 60mm; Height: 96mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-160ML,PC-BTL-8060,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,80×60mm,160mL,Opening: TBD; Bottom: 60mm; Height: 80mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-180ML,PC-BTL-577777,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,57×77×77mm,180mL,Opening: TBD; Bottom: 77x77mm; Height: 57mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-240ML,PC-BTL-8077,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,80×77mm,240mL,Opening: TBD; Bottom: 77mm; Height: 80mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-250ML,PC-BTL-727777,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,72×77×77mm,250mL,Opening: TBD; Bottom: 77x77mm; Height: 72mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-250ML-02,PC-BTL-9867,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,98×67mm,250mL,Opening: TBD; Bottom: 67mm; Height: 98mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-260ML,PC-BTL-9070,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,90×70mm,260mL,Opening: TBD; Bottom: 70mm; Height: 90mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-270ML,PC-BTL-10868,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,108×68mm,270mL,Opening: TBD; Bottom: 68mm; Height: 108mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-300ML,PC-BTL-9677,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×77mm,300mL,Opening: TBD; Bottom: 77mm; Height: 96mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
PC-BOTTLE-350ML,PC-BTL-967777,PC Tissue Culture Series,PC Tissue Culture Bottles,PC Tissue Culture Bottles,PC组培瓶,96×77×77mm,350mL,Opening: TBD; Bottom: 77x77mm; Height: 96mm,PC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,High-transparency PC material; Ventilated culture supported; Reusable design; Autoclavable up to 130°C,6.8,TBD,RMB base price × 1.8 ÷ 6.8,RMB base price × 1.5 ÷ 6.8,RMB base price × 1.25 ÷ 6.8,TBD,TBD,TBD,TBD
